Nombre de producto,"Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)"
CAMISA BÁSICA MANGA LARGA MONCLOVA HOMBRE,"Manga izquierda, M-I, 11x11","Manga derecha, M-D, 11x11","Frente izquierdo, F-I, 12x12","Frente derecho, F-D, 12x12","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA BÁSICA MANGA LARGA MONCLOVA MUJER,"Manga izquierda, M-I, 9X9","Manga derecha, M-D, 9X9","Frente izquierdo, F-I, 12x12","Frente derecho, F-D, 12x12","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA CASUAL SLIM FIT MANGA CORTA HAMBURGO HOMBRE ,"Manga izquierda, M-I, 11X11","Manga derecha, M-D, 11X11","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, -"
CAMISA CASUAL SLIM FIT MANGA CORTA HAMBURGO MUJER,"Manga izquierda, M-I, 9X9","Manga derecha, M-D, 9X9","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, -"
CAMISA CASUAL SLIM FIT MANGA LARGA HAMBURGO HOMBRE,"Manga izquierda, M-I, 11X11","Manga derecha, M-D, 11X11","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, -"
CAMISA CASUAL SLIM FIT MANGA LARGA HAMBURGO MUJER,"Manga izquierda, M-I, 9X9","Manga derecha, M-D, 9X9","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, -"
CAMISA CASUAL SLIM FIT MANGA LARGA MONTREAL HOMBRE,"Manga izquierda, M-I, 11x11","Manga derecha, M-D, 11x11","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA CASUAL SLIM FIT MANGA LARGA MONTREAL MUJER,"Manga izquierda, M-I, 9x9","Manga derecha, M-D, 9x9","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA DE HOMBRE EJECUTIVA MANZANILLO,"Manga izquierda, M-I, 11x11","Manga derecha, M-D, 11x11","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA DE MUJER EJECUTIVA MANZANILLO,"Manga izquierda, M-I, 9X9","Manga derecha, M-D, 9X9","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
