Title,Type,ZONA 1,ZONA 2,ZONA 3,ZONA 4,ZONA 5,ZONA 6,ZONA 7,ZONA 8,ZONA 9 ,ZONA 10,ZONA 11
,,M-I : ,M-D : ,F-I : ,F-D : ,F-C : ,P-I : ,P-D : ,C-I : ,C-D : ,C-A : ,E-C : 
FILIPINA CHEF SLIM FIT DE MEZCLILLA CALIFORNIA MUJER,FILIPINA CHEF,7x7,7x7,12 x 12,,,5x5,5x5,2x7,2x7,,20x20
FILIPINA CHEF SLIM FIT DE MEZCLILLA CALIFORNIA HOMBRE,FILIPINA CHEF,7x7,7x7,12 x 12,,,5x5,5x5,2x7,2x7,,20x20
FILIPINA CHEF SLIM FIT VIENA MUJER,FILIPINA CHEF,7x7,7x7,12 x 12,,,5x5,5x5,2x7,2x7,,20x20
FILIPINA CHEF SLIM FIT VIENA HOMBRE,FILIPINA CHEF,7x7,7x7,12 x 12,,,5x5,5x5,2x7,2x7,,20x20
FILIPINA CHEF CORTE REGULAR VIENA HOMBRE,FILIPINA CHEF,7x7,7x7,12 x 12,,,5x5,5x5,2x7,2x7,,20x20
FILIPINA CHEF CORTE REGULAR VIENA MUJER,FILIPINA CHEF,7x7,7x7,12 x 12,,,5x5,5x5,2x7,2x7,,20x20
FILIPINA CHEF CORTE REGULAR VENECIA MUJER,FILIPINA CHEF,7x7,9x9,7x7,7x7,9x9,5x5,5x5,2x7,2x7,2x8,20x20
FILIPINA CHEF CORTE REGULAR VENECIA HOMBRE,FILIPINA CHEF,7x7,9x9,7x7,7x7,9x9,5x5,5x5,2x7,2x7,2x8,20x20
FILIPINA CHEF CORTE REGULAR MILÁN MUJER,FILIPINA CHEF,7x7,9x9,7x7,7x7,7x7,5x5,5x5,2x8,2x8,2x7,20x20
FILIPINA CHEF CORTE REGULAR MILÁN HOMBRE,FILIPINA CHEF,7x7,9x9,7x7,7x7,7x7,5x5,5x5,2x8,2x8,2x7,20x20
FILIPINA CHEF MANGA CORTA HONOLULU MUJER,FILIPINA CHEF,5x5,9x9,7x7,7x7,9x9,,,2x7,2x7,2x7,20x20
FILIPINA CHEF MANGA CORTA HONOLULU HOMBRE,FILIPINA CHEF,5x5,9x9,7x7,7x7,9x9,,,2x7,2x7,2x7,20x20
FILIPINA EJECUTIVA CHEF CORTE REGULAR LYON HOMBRE,FILIPINA CHEF,7x7,9x9,7x7,7x7,7x7,5x5,5x5,2x7,2x7,2x8,20x20
FILIPINA EJECUTIVA CHEF CORTE REGULAR LYON MUJER,FILIPINA CHEF,7x7,9x9,7x7,7x7,7x7,5x5,5x5,2x7,2x7,2x8,20x20
FILIPINA EJECUTIVA CHEF NARVIK HOMBRE,FILIPINA CHEF,9x9,9x9,9x9,9x9,,5x5,5x5,2x7,2x7,2x8,20x20
FILIPINA EJECUTIVA CHEF NARVIK MUJER,FILIPINA CHEF,9x9,9x9,9x9,9x9,,5x5,5x5,2x7,2x7,2x8,20x20
FILIPINA EJECUTIVA CHEF PEKIN MUJER,FILIPINA CHEF,7x7,9x9,9x9,7x7,,5x5,5x5,3X7,3X7,3X8,20x20
FILIPINA EJECUTIVA CHEF PEKIN HOMBRE,FILIPINA CHEF,7x7,9x9,7x7,9x9,,5x5,5x5,3X7,3X7,3X8,20x20
FILIPINA CHEF SEATTLE HOMBRE,FILIPINA CHEF,9x9,9x9,12 x 12,7x7,,7X7,7X7,,,,20x20
FILIPINA CHEF SEATTLE MUJER,FILIPINA CHEF,9x9,9x9,12 x 12,7x7,,7X7,7X7,,,,20x20
,,,,,,,,,,,,
CONCAT,LYON,M-I : 7x7,M-D : 9x9,F-I : 7x7,F-D : 7x7,F-C : 7x7,P-I : 5x5,P-D : 5x5,C-I : 2x7,C-D : 2x7,C-A : 2x8,E-C : 20x20
CONCAT,SEATTLE,M-I : 9x9,M-D : 9x9,F-I : 12 x 12,F-D : 7x7,F-C : ,P-I : 7X7,P-D : 7X7,C-I : ,C-D : ,C-A : ,E-C : 20x20
pekin hombre,PEKIN,M-I : 7x7,M-D : 9x9,F-I : 7x7,F-D : 9x9,F-C : ,P-I : 5x5,P-D : 5x5,C-I : 3X7,C-D : 3X7,C-A : 3X8,E-C : 20x20
pekin mujer,PEKIN,M-I : 7x7,M-D : 9x9,F-I : 9x9,F-D : 7x7,F-C : ,P-I : 5x5,P-D : 5x5,C-I : 3X7,C-D : 3X7,C-A : 3X8,E-C : 20x20
,NARVIK,M-I : 9x9,M-D : 9x9,F-I : 9x9,F-D : 9x9,F-C : ,P-I : 5x5,P-D : 5x5,C-I : 2x7,C-D : 2x7,C-A : 2x8,E-C : 20x20
,HONOLULU,M-I : 5x5,M-D : 9x9,F-I : 7x7,F-D : 7x7,F-C : 9x9,P-I : ,P-D : ,C-I : 2x7,C-D : 2x7,C-A : 2x7,E-C : 20x20
,MIL�N,M-I : 7x7,M-D : 9x9,F-I : 7x7,F-D : 7x7,F-C : 7x7,P-I : 5x5,P-D : 5x5,C-I : 2x8,C-D : 2x8,C-A : 2x7,E-C : 20x20
,VENECIA,M-I : 7x7,M-D : 9x9,F-I : 7x7,F-D : 7x7,F-C : 9x9,P-I : 5x5,P-D : 5x5,C-I : 2x7,C-D : 2x7,C-A : 2x8,E-C : 20x20
,VIENA,M-I : 7x7,M-D : 7x7,F-I : 12 x 12,F-D : ,F-C : ,P-I : 5x5,P-D : 5x5,C-I : 2x7,C-D : 2x7,C-A : ,E-C : 20x20
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
